ID,Name,Category,Quantity,Price
1,Printer,Accessories,34,988.86
2,Bookshelf,Electronics,72,817.88
3,Scarf,Clothing,87,756.68
4,Mouse,Electronics,93,485.89
5,Pillow,Electronics,84,726.19
6,Mouse,Clothing,58,730.05
7,Backpack,Accessories,56,979.13
8,Memory Card,Household,98,51.09
9,Television,Accessories,36,809.42
10,Tablet,Household,87,872.71
11,Sunglasses,Electronics,7,898.95
12,Chair,Accessories,72,839.62
13,Headphones,Electronics,100,667.19
14,Pants,Household,3,798.54
15,USB Cable,Accessories,67,485.66
16,Table,Accessories,92,133.90
17,Headphones,Household,22,486.04
18,Speaker,Household,24,160.18
19,Charger,Electronics,26,321.78
20,Router,Household,12,284.52
21,USB Cable,Clothing,28,958.89
22,Cushion,Clothing,80,18.19
23,Table,Clothing,37,385.02
24,Game Console,Accessories,33,512.91
25,Blanket,Accessories,91,921.94
26,Smartwatch,Accessories,59,264.70
27,Headphones,Accessories,42,47.43
28,Television,Clothing,18,700.83
29,Monitor,Electronics,70,226.45
30,Scarf,Clothing,89,386.28
31,Router,Clothing,20,410.87
32,Mirror,Household,51,762.91
33,Chair,Household,45,30.70
34,Belt,Clothing,68,141.90
35,Ring,Clothing,52,14.92
36,Watch,Accessories,65,795.53
37,Umbrella,Clothing,10,67.81
38,Chair,Household,21,523.34
39,Rug,Household,55,695.07
40,Table,Electronics,6,133.29
41,Hard Drive,Clothing,76,594.65
42,Curtains,Clothing,68,668.76
43,Shoes,Household,57,284.59
44,Smartphone,Clothing,25,989.44
45,Scarf,Household,96,918.13
46,Fan,Electronics,97,238.15
47,Backpack,Accessories,56,432.65
48,Lamp,Clothing,48,353.80
49,Sunglasses,Accessories,54,155.88
50,Ring,Clothing,98,361.05
51,Monitor,Household,51,932.76
52,Tablet,Accessories,92,943.51
53,Fan,Accessories,32,263.21
54,Tablet,Electronics,32,311.76
55,Shirt,Electronics,98,141.30
56,Camera,Clothing,95,999.85
57,USB Cable,Electronics,50,156.16
58,Pillow,Clothing,63,939.89
59,Necklace,Clothing,82,725.84
60,Blanket,Clothing,91,676.76
61,Cushion,Household,86,807.42
62,Rug,Electronics,42,921.03
63,Camera,Accessories,22,669.57
64,Jacket,Electronics,65,331.55
65,Camera,Accessories,80,577.80
66,Scarf,Electronics,68,633.27
67,Socks,Clothing,29,113.35
68,Power Bank,Clothing,37,690.53
69,Scarf,Household,9,377.95
70,Keyboard,Accessories,88,904.66
71,Charger,Accessories,64,824.13
72,Monitor,Household,99,185.32
73,Flash Drive,Accessories,48,905.21
74,Handbag,Clothing,76,708.86
75,Tablet,Clothing,80,311.09
76,Blanket,Accessories,76,631.40
77,Mirror,Electronics,46,555.51
78,Pants,Accessories,10,762.72
79,Hard Drive,Electronics,16,483.09
80,Laptop,Household,91,318.46
81,Router,Electronics,92,325.34
82,Clock,Clothing,50,750.85
83,Memory Card,Clothing,9,257.95
84,Backpack,Household,89,800.05
85,Pillow,Household,88,260.72
86,Backpack,Clothing,44,875.90
87,Smartwatch,Electronics,95,341.08
88,Watch,Household,75,584.54
89,Suitcase,Household,48,715.15
90,Suitcase,Household,79,616.62
91,Necklace,Accessories,89,24.22
92,Umbrella,Household,7,243.58
93,Fan,Accessories,46,796.06
94,Mouse,Electronics,4,931.34
95,Hat,Accessories,49,991.17
96,Clock,Clothing,32,451.14
97,Clock,Electronics,61,125.27
98,Smartwatch,Clothing,25,837.98
99,Vase,Accessories,53,824.19
100,Backpack,Clothing,8,256.08
101,Earrings,Accessories,86,144.70
102,Handbag,Clothing,97,949.21
103,Handbag,Electronics,70,889.45
104,Hard Drive,Electronics,56,661.71
105,Suitcase,Accessories,25,161.73
106,Power Bank,Accessories,97,467.18
107,Mirror,Clothing,59,142.22
108,Pillow,Clothing,43,855.06
109,Router,Electronics,54,661.08
110,Shirt,Clothing,69,617.79
111,Socks,Clothing,55,870.38
112,Vase,Electronics,22,289.42
113,Smartphone,Accessories,94,890.71
114,Charger,Electronics,30,9.34
115,Power Bank,Accessories,20,619.60
116,Tablet,Clothing,56,201.04
117,Umbrella,Household,43,651.77
118,Headphones,Clothing,31,864.45
119,Lamp,Household,4,284.30
120,Umbrella,Clothing,82,33.58
121,Flash Drive,Accessories,20,646.78
122,Sunglasses,Accessories,54,131.10
123,Clock,Accessories,81,267.76
124,Monitor,Household,59,983.16
125,Laptop,Household,44,741.07
126,Necklace,Electronics,57,715.79
127,Mouse,Household,29,512.68
128,Ring,Electronics,18,367.84
129,Bookshelf,Household,94,410.66
130,Towel,Electronics,52,288.94
131,Handbag,Electronics,61,274.31
132,Gloves,Electronics,36,505.48
133,Shoes,Household,1,342.43
134,Cushion,Electronics,80,532.68
135,Wallet,Clothing,38,583.26
136,Speaker,Electronics,78,64.50
137,Laptop,Clothing,61,240.41
138,Keyboard,Electronics,4,281.49
139,Table,Accessories,70,149.26
140,Monitor,Electronics,96,577.04
141,Sunglasses,Clothing,73,14.70
142,Rug,Electronics,38,644.18
143,Tablet,Clothing,29,853.47
144,Socks,Household,88,690.61
145,Rug,Electronics,46,588.14
146,Hard Drive,Accessories,72,996.31
147,Hard Drive,Electronics,97,221.87
148,Lamp,Clothing,22,332.95
149,Fan,Electronics,6,971.62
150,Smartphone,Clothing,14,249.22
151,Ring,Clothing,68,259.45
152,Power Bank,Accessories,12,898.94
153,Jacket,Clothing,70,214.54
154,Bookshelf,Household,14,294.70
155,Cushion,Household,4,542.24
156,Shirt,Household,94,794.52
157,Headphones,Clothing,85,533.32
158,Wallet,Clothing,71,205.76
159,Rug,Household,38,437.28
160,Hat,Accessories,8,720.75
161,Charger,Clothing,65,824.61
162,Headphones,Household,35,57.16
163,Hard Drive,Household,79,67.13
164,USB Cable,Accessories,93,313.40
165,Handbag,Accessories,89,860.54
166,Shoes,Clothing,99,984.49
167,Backpack,Electronics,68,113.92
168,Curtains,Household,76,607.43
169,Sunglasses,Electronics,61,490.15
170,Smartwatch,Clothing,89,897.54
171,Hard Drive,Electronics,30,615.89
172,Jacket,Clothing,65,37.80
173,Earrings,Accessories,87,895.13
174,Mirror,Accessories,30,627.48
175,Bracelet,Household,2,537.39
176,Gloves,Clothing,23,664.18
177,Printer,Accessories,14,398.42
178,Tablet,Accessories,37,945.29
179,Speaker,Electronics,7,469.99
180,Watch,Accessories,81,188.27
181,Backpack,Clothing,20,44.64
182,Vase,Electronics,8,22.09
183,Jacket,Household,57,369.14
184,USB Cable,Accessories,44,371.59
185,USB Cable,Clothing,50,471.25
186,Smartwatch,Electronics,5,393.33
187,Necklace,Household,62,658.76
188,Shoes,Household,60,236.27
189,Wallet,Electronics,44,794.53
190,Handbag,Accessories,58,176.27
191,USB Cable,Accessories,59,395.96
192,Shirt,Clothing,66,99.67
193,Camera,Electronics,8,934.80
194,Socks,Household,99,213.09
195,Blanket,Accessories,65,924.01
196,Hard Drive,Accessories,73,40.58
197,Camera,Clothing,18,108.00
198,Game Console,Clothing,25,463.62
199,Curtains,Accessories,84,634.83
